Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,Avg_VTAT,Avg_CTAT,Cancelled_Rides_by_Customer,Reason_for_cancelling_by_Customer,Cancelled_Rides_by_Driver,Reason_for_cancelling_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating
22-03-2025,12:50:46,CNR2403188285,Success,CUST247531,Prime Sedan,Rajajinagar,Cox Town,11,8,0,Not Applicable,0,Not Applicable,0,Not Applicable,752,Cash,5.95,3.3,3.1
08-03-2025,21:23:21,CNR8321616013,Success,CUST503483,Bike,Hennur,Jalahalli,4,15,0,Not Applicable,0,Not Applicable,0,Not Applicable,786,Debit Card,10.35,3.2,4.8
09-03-2025,19:49:16,CNR8937812183,Success,CUST713678,Prime Sedan,Peenya,Banerghatta Road,10,19,0,Not Applicable,0,Not Applicable,0,Not Applicable,1230,Debit Card,9.37,3.6,3.3
14-03-2025,17:48:51,CNR7860453947,Success,CUST669935,Prime Plus,Shivaji Nagar,Domlur,9,16,0,Not Applicable,0,Not Applicable,0,Not Applicable,579,Wallet,3.21,3.8,4.6
15-03-2025,22:57:52,CNR4724763296,Cancelled by Driver,CUST184160,Prime SUV,Kanakapura Road,KR Market,0,0,0,Not Applicable,1,Personal & Car related issues,0,Not Applicable,0,Debit Card,0,0,0
24-03-2025,13:51:41,CNR2878653481,Success,CUST373758,Bike,Frazer Town,Cox Town,5,16,0,Not Applicable,0,Not Applicable,0,Not Applicable,186,UPI,14.57,4.6,4.6
20-03-2025,13:28:46,CNR7793912184,Cancelled by Driver,CUST783958,Mini,Electronic City,Peenya,0,0,0,Not Applicable,1,More than permitted people in there,0,Not Applicable,0,UPI,0,0,0
19-03-2025,10:46:14,CNR8675277904,Cancelled by Driver,CUST836090,Prime SUV,Shivaji Nagar,Malleshwaram,0,0,0,Not Applicable,1,More than permitted people in there,0,Not Applicable,0,Cash,0,0,0
08-03-2025,20:22:22,CNR3265107952,Success,CUST441798,eBike,Sanjay Nagar,Banaswadi,13,15,0,Not Applicable,0,Not Applicable,0,Not Applicable,161,Cash,1.96,3.5,4.7
01-03-2025,19:39:13,CNR6575813600,Success,CUST868257,eBike,Basaveshwaranagar,Padmanabhanagar,13,12,0,Not Applicable,0,Not Applicable,0,Not Applicable,762,UPI,19.55,3.5,4
08-03-2025,18:25:27,CNR7378647061,Success,CUST922428,Prime Sedan,Hebbal,Whitefield,5,10,0,Not Applicable,0,Not Applicable,0,Not Applicable,476,Net Banking,7.98,4.1,4.8
02-03-2025,17:05:10,CNR4271763039,Success,CUST931859,Mini,Peenya,Hosur Road,14,9,0,Not Applicable,0,Not Applicable,0,Not Applicable,648,Wallet,19.04,3.9,3.1
02-03-2025,00:47:57,CNR2781256722,Success,CUST523256,Prime Sedan,Hennur,HAL Layout,6,14,0,Not Applicable,0,Not Applicable,0,Not Applicable,205,Cash,16.06,4.6,4
09-03-2025,15:27:29,CNR4272463164,Success,CUST532504,Mini,RT Nagar,Hebbal,14,15,0,Not Applicable,0,Not Applicable,0,Not Applicable,340,Net Banking,7.68,3.6,4.1
29-03-2025,14:15:08,CNR8262103398,Success,CUST237663,Bike,Richmond Town,Koramangala,14,10,0,Not Applicable,0,Not Applicable,0,Not Applicable,417,UPI,9.77,3.7,3.9
12-03-2025,20:53:37,CNR6397288648,Success,CUST281741,Prime SUV,Rajajinagar,Nagarbhavi,6,9,0,Not Applicable,0,Not Applicable,0,Not Applicable,262,Net Banking,10.78,5,3.1
12-03-2025,03:53:04,CNR9057624995,Success,CUST686224,Prime Sedan,Richmond Town,JP Nagar,2,6,0,Not Applicable,0,Not Applicable,0,Not Applicable,221,Cash,9.74,4.3,3.2
23-03-2025,01:18:26,CNR5720337418,Success,CUST836383,Bike,Domlur,Whitefield,12,10,0,Not Applicable,0,Not Applicable,0,Not Applicable,1430,Net Banking,2.15,4.5,3.1
15-03-2025,17:41:59,CNR9631489361,Success,CUST770995,Prime Plus,JP Nagar,Lavelle Road,14,7,0,Not Applicable,0,Not Applicable,0,Not Applicable,98,Credit Card,3.47,4.8,3.1
22-03-2025,05:21:03,CNR4280760682,Cancelled by Driver,CUST370363,Auto,Marathahalli,Malleshwaram,0,0,0,Not Applicable,1,More than permitted people in there,0,Not Applicable,0,UPI,0,0,0
02-03-2025,19:50:56,CNR1189489599,Success,CUST179641,Mini,Banaswadi,Nagarbhavi,8,12,0,Not Applicable,0,Not Applicable,0,Not Applicable,400,Credit Card,19,4.9,4.2
01-03-2025,01:37:22,CNR3663415463,Success,CUST104397,Prime Plus,Jalahalli,BTM Layout,8,5,0,Not Applicable,0,Not Applicable,0,Not Applicable,115,Credit Card,17.47,4.5,3.9
16-03-2025,15:36:52,CNR3788544092,Success,CUST184845,Mini,Hennur,KR Puram,14,11,0,Not Applicable,0,Not Applicable,0,Not Applicable,1208,Wallet,16.87,3.9,3.6
09-03-2025,20:21:55,CNR4175540931,Cancelled by Customer,CUST567152,eBike,MG Road,Bellandur,0,0,1,Wrong Address,0,Not Applicable,0,Not Applicable,0,UPI,0,0,0
08-03-2025,02:47:50,CNR3194216870,Incomplete,CUST538765,Prime SUV,Marathahalli,Koramangala,0,0,0,Not Applicable,0,Not Applicable,1,Vehicle Breakdown,0,Cash,0,0,0
22-03-2025,01:56:16,CNR1165871637,Success,CUST559641,Prime Sedan,Basavanagudi,Wilson Garden,11,7,0,Not Applicable,0,Not Applicable,0,Not Applicable,473,Cash,19.25,4.5,4.2
22-03-2025,19:34:16,CNR9927749244,Success,CUST876595,Bike,BTM Layout,Basaveshwaranagar,4,11,0,Not Applicable,0,Not Applicable,0,Not Applicable,416,Cash,2.35,4.5,4.7
15-03-2025,02:48:53,CNR1684354197,Success,CUST162700,Prime Plus,Rajajinagar,Lavelle Road,8,8,0,Not Applicable,0,Not Applicable,0,Not Applicable,360,Net Banking,12.33,4.9,4.5
31-03-2025,12:41:17,CNR5961096934,Success,CUST446083,Prime Plus,HAL Layout,Nagavara,8,18,0,Not Applicable,0,Not Applicable,0,Not Applicable,1462,Net Banking,6.1,3.2,3.9
23-03-2025,16:59:39,CNR7046992027,Success,CUST792923,Bike,Nagarbhavi,Cox Town,5,7,0,Not Applicable,0,Not Applicable,0,Not Applicable,91,Wallet,17.88,4.6,3.9
03-03-2025,18:32:20,CNR6162550022,Incomplete,CUST980360,Prime Plus,Bellandur,Electronic City,0,0,0,Not Applicable,0,Not Applicable,1,Customer Demand,0,Wallet,0,0,0
01-03-2025,09:50:18,CNR4852913545,Success,CUST704591,eBike,Wilson Garden,Kanakapura Road,9,12,0,Not Applicable,0,Not Applicable,0,Not Applicable,567,Net Banking,14.74,5,3.2
23-03-2025,16:36:05,CNR6470987042,Incomplete,CUST312097,Prime Sedan,Rajajinagar,Peenya,0,0,0,Not Applicable,0,Not Applicable,1,Vehicle Breakdown,0,UPI,0,0,0
09-03-2025,16:18:31,CNR2050114554,Success,CUST250714,Prime Sedan,Nagarbhavi,Electronic City,12,18,0,Not Applicable,0,Not Applicable,0,Not Applicable,241,Debit Card,19.35,3.4,3.2
07-03-2025,02:43:06,CNR4935941617,Success,CUST759606,Bike,Sarjapur,Vijayanagar,9,13,0,Not Applicable,0,Not Applicable,0,Not Applicable,521,Credit Card,18.73,4,4.5
08-03-2025,08:37:06,CNR9705059453,Cancelled by Driver,CUST327822,Prime Plus,Ulsoor,JP Nagar,0,0,0,Not Applicable,1,Customer related issue,0,Not Applicable,0,Credit Card,0,0,0
04-03-2025,11:57:24,CNR5396672841,Success,CUST551178,Auto,Domlur,MG Road,4,6,0,Not Applicable,0,Not Applicable,0,Not Applicable,177,Debit Card,4.92,4.7,3.7
27-03-2025,22:12:49,CNR3767533521,Success,CUST726115,Auto,RT Nagar,Yelahanka,9,15,0,Not Applicable,0,Not Applicable,0,Not Applicable,1141,Net Banking,5.65,3.9,3.2
16-03-2025,11:21:58,CNR7051652009,Success,CUST726771,Auto,Vijayanagar,Seshadripuram,8,14,0,Not Applicable,0,Not Applicable,0,Not Applicable,582,UPI,8.61,4.9,4.5
07-03-2025,00:28:15,CNR7871439750,Success,CUST955910,Auto,Nagarbhavi,Indiranagar,7,12,0,Not Applicable,0,Not Applicable,0,Not Applicable,501,UPI,2.42,4.3,3.9
15-03-2025,00:26:00,CNR2742733416,Cancelled by Customer,CUST478974,eBike,Majestic,Sarjapur,0,0,1,Wrong Address,0,Not Applicable,0,Not Applicable,0,Cash,0,0,0
25-03-2025,08:48:54,CNR9550731753,Cancelled by Driver,CUST117399,Bike,Banashankari,Peenya,0,0,0,Not Applicable,1,More than permitted people in there,0,Not Applicable,0,Wallet,0,0,0
18-03-2025,21:54:22,CNR5427878030,Success,CUST315649,Auto,Nagarbhavi,Seshadripuram,5,15,0,Not Applicable,0,Not Applicable,0,Not Applicable,265,UPI,6.26,3.9,4.4
27-03-2025,00:29:30,CNR9713921250,Success,CUST556981,Prime Plus,Richmond Town,Whitefield,4,11,0,Not Applicable,0,Not Applicable,0,Not Applicable,1789,Wallet,8.78,4.7,4.2
01-03-2025,04:00:25,CNR8906258227,Success,CUST315828,Bike,Banashankari,Nagarbhavi,8,15,0,Not Applicable,0,Not Applicable,0,Not Applicable,577,Cash,5.59,4,3.7
03-03-2025,07:37:52,CNR2339182445,Success,CUST886432,Bike,Brigade Road,Hennur,14,17,0,Not Applicable,0,Not Applicable,0,Not Applicable,253,Net Banking,2.72,3.4,4.6
31-03-2025,02:49:31,CNR3708307803,Success,CUST945471,Prime Plus,KR Market,Kengeri,8,14,0,Not Applicable,0,Not Applicable,0,Not Applicable,899,Wallet,14.82,3.4,3.1
23-03-2025,19:05:58,CNR7662825673,Success,CUST348449,Mini,Richmond Town,Malleshwaram,4,15,0,Not Applicable,0,Not Applicable,0,Not Applicable,1180,Debit Card,17.09,4.6,3.5
09-03-2025,20:37:09,CNR7116074178,Success,CUST102171,Prime SUV,Peenya,Wilson Garden,7,17,0,Not Applicable,0,Not Applicable,0,Not Applicable,250,Wallet,9.41,3.8,4.1
29-03-2025,17:18:29,CNR5673776294,Success,CUST147615,Bike,JP Nagar,Basavanagudi,8,19,0,Not Applicable,0,Not Applicable,0,Not Applicable,736,Credit Card,6.63,4.3,4.7
07-03-2025,15:58:16,CNR5190714817,Incomplete,CUST144664,Prime SUV,Malleshwaram,Majestic,0,0,0,Not Applicable,0,Not Applicable,1,Customer Demand,0,Net Banking,0,0,0
15-03-2025,12:54:48,CNR8537224297,Success,CUST181380,Mini,Richmond Town,Kumaraswamy Layout,6,8,0,Not Applicable,0,Not Applicable,0,Not Applicable,462,UPI,11.82,3.5,4.3
09-03-2025,05:25:38,CNR7905638918,Success,CUST859557,Auto,Cox Town,Malleshwaram,10,10,0,Not Applicable,0,Not Applicable,0,Not Applicable,81,Debit Card,13.45,3.6,4.7
02-03-2025,19:41:19,CNR5214116272,Success,CUST963016,Prime SUV,Peenya,Hebbal,8,14,0,Not Applicable,0,Not Applicable,0,Not Applicable,260,Net Banking,6.22,3.1,3.8
16-03-2025,10:54:08,CNR8838450394,Success,CUST858187,Prime Sedan,HSR Layout,Whitefield,13,14,0,Not Applicable,0,Not Applicable,0,Not Applicable,310,UPI,8.81,4.8,3.7
30-03-2025,18:56:00,CNR9366394965,Success,CUST539282,eBike,Marathahalli,Majestic,2,8,0,Not Applicable,0,Not Applicable,0,Not Applicable,558,Net Banking,2.86,3.5,4.6
07-03-2025,17:42:05,CNR9032002986,Success,CUST104662,Mini,Kadubeesanahalli,Malleshwaram,3,10,0,Not Applicable,0,Not Applicable,0,Not Applicable,367,Debit Card,14.66,4.2,4.4
07-03-2025,03:57:20,CNR8069229339,Cancelled by Customer,CUST739371,Auto,Lavelle Road,Banaswadi,0,0,1,AC is not working,0,Not Applicable,0,Not Applicable,0,UPI,0,0,0
09-03-2025,19:53:42,CNR7013189356,Success,CUST364745,Auto,Nagavara,Lavelle Road,4,6,0,Not Applicable,0,Not Applicable,0,Not Applicable,747,UPI,17.94,3.7,4.5
16-03-2025,20:59:24,CNR3845027435,Success,CUST234458,eBike,BTM Layout,Electronic City,11,18,0,Not Applicable,0,Not Applicable,0,Not Applicable,475,UPI,17.12,3.2,3.6
29-03-2025,16:43:38,CNR5452080095,Cancelled by Customer,CUST281678,Mini,Yelahanka,Seshadripuram,0,0,1,Wrong Address,0,Not Applicable,0,Not Applicable,0,Credit Card,0,0,0
14-03-2025,16:53:01,CNR9101237158,Success,CUST600943,eBike,Brigade Road,KR Puram,3,15,0,Not Applicable,0,Not Applicable,0,Not Applicable,454,Cash,2.44,4.4,3.9
03-03-2025,16:36:03,CNR1214743655,Cancelled by Driver,CUST530888,Prime Plus,MG Road,Hosur Road,0,0,0,Not Applicable,1,The customer was coughing/sick,0,Not Applicable,0,Debit Card,0,0,0
02-03-2025,10:39:09,CNR2785210761,Success,CUST918080,Auto,Lavelle Road,Domlur,3,19,0,Not Applicable,0,Not Applicable,0,Not Applicable,1025,Debit Card,5.15,4,4.7
29-03-2025,08:47:05,CNR5687515530,Success,CUST867802,Bike,Brigade Road,Hosur Road,6,6,0,Not Applicable,0,Not Applicable,0,Not Applicable,575,Net Banking,9.98,3.3,3.7
07-03-2025,20:41:15,CNR4496392149,Success,CUST908312,Auto,Vijayanagar,Frazer Town,3,9,0,Not Applicable,0,Not Applicable,0,Not Applicable,333,UPI,13.55,3.8,4.2
09-03-2025,04:22:58,CNR4234504088,Success,CUST237421,Prime Sedan,BTM Layout,Indiranagar,12,19,0,Not Applicable,0,Not Applicable,0,Not Applicable,496,Net Banking,8.39,3.2,4.7
03-03-2025,09:28:18,CNR7070546409,Success,CUST897720,Prime SUV,Nagarbhavi,Bellandur,13,7,0,Not Applicable,0,Not Applicable,0,Not Applicable,94,UPI,3.11,4.2,3.9
20-03-2025,09:51:46,CNR4844620135,Success,CUST386095,Bike,Kanakapura Road,Indiranagar,3,14,0,Not Applicable,0,Not Applicable,0,Not Applicable,733,Net Banking,6.29,4,3.1
26-03-2025,19:47:51,CNR7301792896,Success,CUST949197,Mini,Kadubeesanahalli,Hosur Road,3,15,0,Not Applicable,0,Not Applicable,0,Not Applicable,142,Net Banking,19.07,4.9,4.7
26-03-2025,18:44:59,CNR5675521012,Success,CUST392274,Auto,Rajajinagar,Rajajinagar,7,15,0,Not Applicable,0,Not Applicable,0,Not Applicable,408,Credit Card,3.23,3.2,4.3
30-03-2025,09:35:05,CNR7232507082,Success,CUST742471,Prime Sedan,Lavelle Road,Seshadripuram,4,7,0,Not Applicable,0,Not Applicable,0,Not Applicable,1006,Debit Card,7.42,3.9,3.9
18-03-2025,12:21:49,CNR6633325412,Success,CUST868107,Prime Sedan,Kumaraswamy Layout,Peenya,11,6,0,Not Applicable,0,Not Applicable,0,Not Applicable,490,Cash,12.11,3.5,4.7
01-03-2025,04:21:16,CNR6172077209,Success,CUST602446,Mini,Electronic City,Banaswadi,9,12,0,Not Applicable,0,Not Applicable,0,Not Applicable,225,Credit Card,9.99,4.7,3.6
18-03-2025,15:54:42,CNR9990315672,Success,CUST955490,Prime SUV,MG Road,Basaveshwaranagar,5,14,0,Not Applicable,0,Not Applicable,0,Not Applicable,412,UPI,8.27,5,4.3
23-03-2025,07:56:20,CNR5524848658,Cancelled by Driver,CUST911911,Prime SUV,Frazer Town,Whitefield,0,0,0,Not Applicable,1,The customer was coughing/sick,0,Not Applicable,0,Credit Card,0,0,0
15-03-2025,17:54:17,CNR2084671613,Success,CUST263377,eBike,Domlur,Hennur,4,18,0,Not Applicable,0,Not Applicable,0,Not Applicable,1246,Credit Card,1.94,3.4,3.4
07-03-2025,17:05:33,CNR2482319693,Cancelled by Driver,CUST820970,eBike,Brigade Road,Hosur Road,0,0,0,Not Applicable,1,Customer related issue,0,Not Applicable,0,Debit Card,0,0,0
01-03-2025,00:43:26,CNR9993222941,Success,CUST453969,Mini,Shivaji Nagar,HAL Layout,2,13,0,Not Applicable,0,Not Applicable,0,Not Applicable,648,Net Banking,13.63,3.2,3.3
29-03-2025,05:52:42,CNR3733817202,Cancelled by Driver,CUST455838,Bike,Malleshwaram,Peenya,0,0,0,Not Applicable,1,Personal & Car related issues,0,Not Applicable,0,Credit Card,0,0,0
01-03-2025,05:31:44,CNR1651863307,Cancelled by Driver,CUST119132,Bike,Bellandur,Domlur,0,0,0,Not Applicable,1,More than permitted people in there,0,Not Applicable,0,Net Banking,0,0,0
27-03-2025,04:22:19,CNR4505439014,Cancelled by Driver,CUST121703,Prime SUV,Kumaraswamy Layout,Cox Town,0,0,0,Not Applicable,1,The customer was coughing/sick,0,Not Applicable,0,UPI,0,0,0
09-03-2025,07:19:23,CNR2072686063,Success,CUST453528,Bike,Nagavara,Hennur,14,17,0,Not Applicable,0,Not Applicable,0,Not Applicable,1077,Net Banking,12.57,3.4,4.5
10-03-2025,17:00:03,CNR8826079026,Success,CUST237196,Bike,Basaveshwaranagar,Wilson Garden,4,10,0,Not Applicable,0,Not Applicable,0,Not Applicable,285,Cash,10.58,3.9,3.7
29-03-2025,16:25:22,CNR5364896923,Success,CUST786109,Mini,RT Nagar,Rajajinagar,3,10,0,Not Applicable,0,Not Applicable,0,Not Applicable,898,Debit Card,1.9,3.2,4.9
22-03-2025,15:11:45,CNR2876987314,Success,CUST672912,eBike,Wilson Garden,Ulsoor,7,10,0,Not Applicable,0,Not Applicable,0,Not Applicable,823,Wallet,7.7,3.9,4
02-03-2025,18:15:01,CNR1037160977,Cancelled by Driver,CUST453550,Mini,Cox Town,Hosur Road,0,0,0,Not Applicable,1,Customer related issue,0,Not Applicable,0,UPI,0,0,0
08-03-2025,07:32:52,CNR8365889694,Cancelled by Customer,CUST997270,Prime SUV,MG Road,Indiranagar,0,0,1,Driver asked to cancel,0,Not Applicable,0,Not Applicable,0,Cash,0,0,0
07-03-2025,14:39:58,CNR6546391106,Success,CUST268415,Bike,Basavanagudi,Kadubeesanahalli,14,11,0,Not Applicable,0,Not Applicable,0,Not Applicable,161,UPI,15.84,3.9,3.8
12-03-2025,07:11:51,CNR9067538465,Success,CUST512258,Bike,RT Nagar,Hebbal,11,7,0,Not Applicable,0,Not Applicable,0,Not Applicable,424,Debit Card,3.17,4.2,3.4
01-03-2025,22:54:14,CNR9137257870,Incomplete,CUST160486,Bike,Koramangala,Frazer Town,0,0,0,Not Applicable,0,Not Applicable,1,Vehicle Breakdown,0,Credit Card,0,0,0
09-03-2025,07:50:55,CNR3899949931,Success,CUST344944,Auto,KR Market,Basavanagudi,3,9,0,Not Applicable,0,Not Applicable,0,Not Applicable,1178,Cash,19.42,3.8,3.2
02-03-2025,18:01:31,CNR8130608543,Cancelled by Driver,CUST944178,Bike,Electronic City,Vijayanagar,0,0,0,Not Applicable,1,Customer related issue,0,Not Applicable,0,Wallet,0,0,0
12-03-2025,13:22:42,CNR9463285616,Success,CUST487064,Mini,RT Nagar,Banashankari,13,14,0,Not Applicable,0,Not Applicable,0,Not Applicable,64,Net Banking,4.46,3.4,3.2
23-03-2025,08:16:08,CNR8589161835,Cancelled by Customer,CUST293452,Auto,Brigade Road,Yelahanka,0,0,1,Change of plans,0,Not Applicable,0,Not Applicable,0,Wallet,0,0,0
02-03-2025,08:26:58,CNR7008487167,Success,CUST609254,Prime Sedan,Kumaraswamy Layout,Ulsoor,14,16,0,Not Applicable,0,Not Applicable,0,Not Applicable,1130,Debit Card,13.49,4.2,3.7
06-03-2025,15:52:17,CNR7975938454,Success,CUST496332,Prime Sedan,Hennur,JP Nagar,3,19,0,Not Applicable,0,Not Applicable,0,Not Applicable,439,UPI,2.46,3.2,4.4
29-03-2025,08:08:25,CNR2356793684,Success,CUST891943,Prime Sedan,Basavanagudi,Hennur,5,19,0,Not Applicable,0,Not Applicable,0,Not Applicable,337,Net Banking,6.51,3.2,3.3
03-03-2025,17:25:13,CNR6622351130,Cancelled by Driver,CUST636265,Bike,Whitefield,RT Nagar,0,0,0,Not Applicable,1,More than permitted people in there,0,Not Applicable,0,Net Banking,0,0,0
10-03-2025,12:57:06,CNR2314966494,Cancelled by Driver,CUST533758,Auto,Jayanagar,MG Road,0,0,0,Not Applicable,1,Personal & Car related issues,0,Not Applicable,0,Net Banking,0,0,0
16-03-2025,18:21:14,CNR7631925017,Success,CUST165989,Mini,Padmanabhanagar,Rajajinagar,9,11,0,Not Applicable,0,Not Applicable,0,Not Applicable,305,Cash,10.82,3.3,3.8
18-03-2025,22:38:41,CNR3043234683,Success,CUST509511,eBike,Banashankari,Hebbal,4,16,0,Not Applicable,0,Not Applicable,0,Not Applicable,796,Credit Card,15.8,4.3,3.3
02-03-2025,16:32:30,CNR5014980984,Success,CUST242389,Bike,KR Market,Nagarbhavi,13,8,0,Not Applicable,0,Not Applicable,0,Not Applicable,1031,Cash,1.57,4.6,3.2
29-03-2025,04:04:38,CNR8507581819,Success,CUST835186,Auto,Rajajinagar,Bommanahalli,4,12,0,Not Applicable,0,Not Applicable,0,Not Applicable,148,Debit Card,19.24,3.2,4.9
01-03-2025,23:45:21,CNR7396807863,Cancelled by Driver,CUST455020,Bike,Sanjay Nagar,Sanjay Nagar,0,0,0,Not Applicable,1,The customer was coughing/sick,0,Not Applicable,0,Cash,0,0,0
21-03-2025,07:24:51,CNR7403985782,Success,CUST505479,Prime Plus,Kengeri,Wilson Garden,6,10,0,Not Applicable,0,Not Applicable,0,Not Applicable,430,Credit Card,15.5,3.8,4.2
27-03-2025,09:55:44,CNR2889192754,Success,CUST692118,Bike,Electronic City,Hebbal,14,16,0,Not Applicable,0,Not Applicable,0,Not Applicable,398,Net Banking,13.07,4.9,4.8
02-03-2025,15:25:36,CNR6755493839,Incomplete,CUST534939,Bike,Hosur Road,Cox Town,0,0,0,Not Applicable,0,Not Applicable,1,Other Issue,0,Credit Card,0,0,0
08-03-2025,01:55:00,CNR7702119836,Success,CUST478621,Prime Sedan,Banerghatta Road,Banashankari,8,11,0,Not Applicable,0,Not Applicable,0,Not Applicable,900,Wallet,8.87,4.4,3.4
12-03-2025,12:40:14,CNR7959303947,Success,CUST140155,Auto,Jalahalli,KR Puram,8,15,0,Not Applicable,0,Not Applicable,0,Not Applicable,414,UPI,4.17,4.3,3.1
16-03-2025,00:55:20,CNR1098218518,Success,CUST421024,Prime SUV,MG Road,Whitefield,8,10,0,Not Applicable,0,Not Applicable,0,Not Applicable,326,Credit Card,7.91,4.9,4
01-03-2025,20:43:47,CNR6119489870,Success,CUST794021,Auto,JP Nagar,Yelahanka,6,17,0,Not Applicable,0,Not Applicable,0,Not Applicable,471,Debit Card,2.74,3.5,4.3
16-03-2025,03:11:04,CNR2205148198,Success,CUST246123,Auto,Basavanagudi,BTM Layout,4,14,0,Not Applicable,0,Not Applicable,0,Not Applicable,72,Cash,10.72,4.7,4.1
23-03-2025,09:39:31,CNR7333438822,Success,CUST661857,eBike,Lavelle Road,Nagavara,5,9,0,Not Applicable,0,Not Applicable,0,Not Applicable,363,UPI,3.16,3,5
29-03-2025,21:34:15,CNR6939981606,Success,CUST783238,Mini,Domlur,KR Puram,13,7,0,Not Applicable,0,Not Applicable,0,Not Applicable,167,UPI,4.53,4.6,3.3
18-03-2025,20:07:54,CNR5040311299,Success,CUST622656,Prime Sedan,HSR Layout,Frazer Town,12,7,0,Not Applicable,0,Not Applicable,0,Not Applicable,275,Cash,18.73,4,4.5
16-03-2025,02:14:45,CNR6968099618,Success,CUST589124,Auto,KR Market,Kanakapura Road,7,13,0,Not Applicable,0,Not Applicable,0,Not Applicable,431,Debit Card,4.7,3.9,4.9
12-03-2025,17:24:54,CNR6950855223,Success,CUST175754,Prime Plus,Majestic,Sarjapur,7,16,0,Not Applicable,0,Not Applicable,0,Not Applicable,421,Net Banking,11.99,3.5,3.6
30-03-2025,01:17:10,CNR5794019627,Success,CUST328148,Prime SUV,Padmanabhanagar,Padmanabhanagar,9,9,0,Not Applicable,0,Not Applicable,0,Not Applicable,425,Wallet,6.94,4.2,4.1
08-03-2025,02:38:01,CNR7219277393,Success,CUST535019,Prime SUV,Yelahanka,MG Road,13,8,0,Not Applicable,0,Not Applicable,0,Not Applicable,605,UPI,6.24,3,4.2
23-03-2025,12:11:06,CNR9642848219,Success,CUST889081,Prime Sedan,Rajajinagar,Basaveshwaranagar,12,15,0,Not Applicable,0,Not Applicable,0,Not Applicable,227,Credit Card,19.72,4.1,4.5
05-03-2025,02:28:40,CNR1183092988,Success,CUST600104,Bike,Frazer Town,Koramangala,12,14,0,Not Applicable,0,Not Applicable,0,Not Applicable,747,Net Banking,5.81,3.6,4.3
20-03-2025,20:59:37,CNR1704898401,Incomplete,CUST851922,Prime Plus,Hosur Road,Jayanagar,0,0,0,Not Applicable,0,Not Applicable,1,Customer Demand,0,Credit Card,0,0,0
15-03-2025,05:28:47,CNR2913647313,Cancelled by Customer,CUST935173,Bike,Richmond Town,Banerghatta Road,0,0,1,Change of plans,0,Not Applicable,0,Not Applicable,0,Net Banking,0,0,0
16-03-2025,20:23:34,CNR4714572937,Incomplete,CUST388045,Auto,Basavanagudi,Peenya,0,0,0,Not Applicable,0,Not Applicable,1,Vehicle Breakdown,0,Credit Card,0,0,0
08-03-2025,23:09:19,CNR2946512873,Cancelled by Driver,CUST632238,Prime SUV,Nagavara,Bellandur,0,0,0,Not Applicable,1,Personal & Car related issues,0,Not Applicable,0,UPI,0,0,0
